YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Irak,438,6636,6567,69,1994,16,1663,65,10,57,183,27046,1761,16,1552,59,10,54,179,0,111,6,0,3,0,4
2016-02,Irak,438,10075,9999,76,2871,33,2349,83,18,96,292,34908,1651,33,2214,73,10,86,259,0,135,10,8,10,20,13
2016-03,Irak,438,9053,8982,71,2795,18,2159,110,14,188,306,41741,1610,18,2079,98,13,179,286,0,80,12,1,9,4,16
2016-04,Irak,438,9569,9505,64,2884,26,1938,225,13,245,437,49055,1583,26,1896,218,12,237,400,0,42,7,1,8,18,19
2016-05,Irak,438,8349,8295,54,2203,24,1301,235,11,276,356,56030,1587,24,1265,222,11,270,331,0,36,13,0,6,8,17
2016-06,Irak,438,10060,9999,61,3679,11,2159,552,18,400,539,63820,1540,10,2110,536,15,390,512,1,49,16,3,10,14,13
2016-07,Irak,438,9175,9128,47,5147,16,2772,831,44,933,551,68794,1487,16,2727,815,40,920,522,0,45,16,4,13,8,21
2016-08,Irak,438,11639,11574,65,6702,26,3150,1164,43,1727,592,74482,1447,26,3117,1144,39,1698,562,0,33,20,4,29,22,8
2016-09,Irak,438,9315,9245,70,8783,16,4348,1366,34,2393,626,75639,1445,16,4327,1348,34,2382,598,0,21,18,0,11,15,13
2016-10,Irak,438,3008,2953,55,8236,11,3777,1580,28,2340,500,70726,1562,11,3761,1571,28,2325,473,0,16,9,0,15,12,15
2016-11,Irak,438,2265,2221,44,11386,30,4862,2420,123,2914,1037,62083,1649,30,4828,2395,106,2881,972,0,34,25,17,33,37,28
2016-12,Irak,438,1692,1638,54,12185,34,6130,2201,85,2705,1030,52006,1576,34,6081,2185,81,2677,944,0,49,16,4,28,35,51
