YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2019-01,Somalia,273,366,323,43,547,4,179,32,29,108,195,1679,157,4,173,32,17,104,114,0,6,0,12,4,23,58
2019-02,Somalia,273,305,266,39,584,3,153,37,33,136,222,1571,147,3,149,33,21,134,160,0,4,4,12,2,17,45
2019-03,Somalia,273,288,234,54,535,4,155,26,31,132,187,1455,152,1,151,26,22,127,129,3,4,0,9,5,18,40
2019-04,Somalia,273,292,246,46,391,3,125,29,21,64,149,1440,164,3,123,29,13,63,103,0,2,0,8,1,16,30
2019-05,Somalia,273,303,247,56,497,3,140,25,20,80,229,1371,159,3,131,22,13,76,161,0,9,3,7,4,21,47
2019-06,Somalia,273,295,262,33,430,4,119,26,18,71,192,1384,145,4,117,26,15,67,135,0,2,0,3,4,21,36
2019-07,Somalia,273,357,315,42,481,5,129,21,20,94,212,1387,149,5,127,20,16,87,162,0,2,1,4,7,19,31
2019-08,Somalia,273,352,307,45,407,2,105,19,21,80,180,1450,162,2,102,19,16,77,133,0,3,0,5,3,18,29
2019-09,Somalia,273,338,293,45,408,1,133,26,14,78,156,1450,185,1,131,26,11,78,119,0,2,0,3,0,16,21
2019-10,Somalia,273,316,264,52,430,2,141,24,19,57,187,1433,187,2,132,24,16,53,129,0,9,0,3,4,15,43
2019-11,Somalia,273,283,246,37,443,3,158,27,26,55,174,1402,175,3,153,27,21,53,101,0,5,0,5,2,24,49
2019-12,Somalia,273,244,208,36,286,0,86,27,12,38,123,1453,165,0,79,26,9,36,79,0,7,1,3,2,19,25
