YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2019-01,1,469,72,105,673,580
2019-02,6,510,58,87,683,639
2019-03,3,566,75,111,533,539
2019-04,3,378,61,61,384,371
2019-05,8,396,56,61,465,601
2019-06,3,359,35,40,379,373
2019-07,3,417,52,76,491,564
2019-08,2,380,69,65,553,573
2019-09,2,282,70,61,456,475
2019-10,9,318,49,54,333,451
2019-11,2,321,59,78,468,430
2019-12,6,202,46,42,342,374
2020-01,0,319,51,48,474,447
2020-02,3,260,31,68,421,370
2020-03,1,326,47,62,374,361
2020-04,0,182,8,20,102,117
2020-05,1,289,58,95,726,480
2020-06,3,414,72,73,596,275
2020-07,3,321,63,81,542,265
2020-08,1,261,26,51,310,220
2020-09,1,267,48,55,359,226
2020-10,2,289,80,69,318,241
2020-11,3,246,47,96,352,274
2020-12,0,183,34,32,331,285
