YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2019-01,Irak,438,1498,1384,114,1900,1,469,72,105,673,580,5928,453,1,464,72,101,646,397,0,5,0,4,27,69,114
2019-02,Irak,438,1307,1200,107,1983,6,510,58,87,683,639,5613,408,6,506,57,84,636,476,0,4,1,3,47,85,78
2019-03,Irak,438,1027,907,120,1827,3,566,75,111,533,539,5102,399,3,559,75,96,520,402,0,7,0,15,13,71,66
2019-04,Irak,438,1064,915,149,1258,3,378,61,61,384,371,5076,449,3,374,58,53,373,256,0,4,3,8,11,56,59
2019-05,Irak,438,1212,1087,125,1587,8,396,56,61,465,601,4957,447,8,392,47,54,438,484,0,4,9,7,27,63,54
2019-06,Irak,438,868,772,96,1189,3,359,35,40,379,373,4880,434,3,345,35,35,368,254,0,14,0,5,11,78,41
2019-07,Irak,438,1377,1230,147,1603,3,417,52,76,491,564,4940,452,3,400,44,70,475,437,0,17,8,6,16,57,70
2019-08,Irak,438,1250,1129,121,1642,2,380,69,65,553,573,4823,449,2,370,69,63,539,428,0,10,0,2,14,76,69
2019-09,Irak,438,1158,1042,116,1346,2,282,70,61,456,475,4898,455,2,273,68,57,443,328,0,9,2,4,13,76,71
2019-10,Irak,438,1185,1064,121,1214,9,318,49,54,333,451,5024,472,9,314,47,49,318,344,0,4,2,5,15,53,54
2019-11,Irak,438,1096,957,139,1358,2,321,59,78,468,430,4915,537,2,319,59,74,450,335,0,2,0,4,18,39,56
2019-12,Irak,438,927,815,112,1012,6,202,46,42,342,374,4971,579,6,201,46,36,323,288,0,1,0,6,19,31,55
2020-01,Irak,438,1377,1240,137,1339,0,319,51,48,474,447,5322,530,0,299,50,44,452,234,0,20,1,4,22,95,118
2020-02,Irak,438,1080,960,120,1153,3,260,31,68,421,370,5461,558,1,251,29,65,390,258,2,9,2,3,31,60,52
2020-03,Irak,438,732,662,70,1171,1,326,47,62,374,361,5297,518,1,309,43,59,346,236,0,17,4,3,28,51,74
2020-04,Irak,438,526,498,28,429,0,182,8,20,102,117,5592,533,0,177,5,18,90,49,0,5,3,2,12,28,40
2020-05,Irak,438,320,280,40,1649,1,289,58,95,726,480,4592,461,1,274,56,86,703,322,0,15,2,9,23,77,81
2020-06,Irak,438,450,398,52,1433,3,414,72,73,596,275,3938,427,3,406,66,62,569,139,0,8,6,11,27,73,63
2020-07,Irak,438,966,864,102,1275,3,321,63,81,542,265,3951,429,3,299,62,57,514,111,0,22,1,24,28,64,90
2020-08,Irak,438,777,684,93,869,1,261,26,51,310,220,4056,448,1,256,26,41,292,127,0,5,0,10,18,38,55
2020-09,Irak,438,857,793,64,956,1,267,48,55,359,226,4238,440,1,265,46,44,338,127,0,2,2,11,21,39,60
2020-10,Irak,438,888,815,73,999,2,289,80,69,318,241,4436,420,2,281,68,65,293,134,0,8,12,4,25,35,72
2020-11,Irak,438,1001,936,65,1018,3,246,47,96,352,274,4769,427,3,245,45,93,333,151,0,1,2,3,19,45,78
2020-12,Irak,438,826,743,83,865,0,183,34,32,331,285,5015,441,0,175,34,25,312,179,0,8,0,7,19,45,61
